,0
1447,Cdh9
1448,Cdh10
1449,Cdh12
1450,Cdh18
1451,Gm5468
1452,Dnahc5
1453,Ctnnd2
1454,1700084J12Rik
1455,Gm12191
1456,BC030476
1457,4930413F20Rik
1458,Kcns2
1459,Osr2
1460,Rgs22
1461,Grhl2
1462,Gm15941
1463,Baalc
1464,Rims2
1465,Dpys
1466,AU022793
1467,9330182O14Rik
1468,Zfpm2
1469,Rspo2
1470,Tmem74
1471,Pkhd1l1
1472,Sybu
1473,2310069G16Rik
1474,A930017M01Rik
1475,Kcnv1
1476,Csmd3
1477,Slc30a8
1478,Colec10
1479,Nov
1480,Enpp2
1481,Has2
1482,Slc22a22
1483,Fam83a
1484,Klhl38
1485,Anxa13
1486,Gm19510
1487,A1bg
1488,Gsdmc
1489,Gsdmc2
1490,Gsdmc3
1491,Gsdmc4
1492,Gsdmcl-ps
1493,Adcy8
1494,Oc90
1495,Kcnq3
1496,Lrrc6
1497,Tg
1498,Sla
1499,Fam135b
1500,Col22a1
1501,Gpr20
1502,Bai1
1503,Psca
1504,Slurp1
1505,Lypd2
1506,Ly6d
1507,D730001G18Rik
1508,Hemt1
1509,2010109I03Rik
1510,Ly6c2
1511,9030619P08Rik
1512,Ly6h
1513,Gpihbp1
1514,Rhpn1
1515,Mapk15
1516,Eppk1
1517,BC024139
1518,Gm10872
1519,Slc39a4
1520,Mb
1521,Apol6
1522,Apol7a
1523,Apol7b
1524,Apol10a
1525,Apol7c
1526,Gm8221
1527,Apol11b
1528,Apol7e
1529,Cacng2
1530,Pvalb
1531,Ncf4
1532,Tmprss6
1533,Sstr3
1534,Rac2
1535,Cyth4
1536,Elfn2
1537,Galr3
1538,Sox10
1539,Baiap2l2
1540,Kcnj4
1541,Syngr1
1542,Mgat3
1543,Cacna1i
1544,Enthd1
1545,Grap2
1546,Fam83f
1547,A430088P11Rik
1548,4930483J18Rik
1549,Mchr1
1550,Mei1
1551,AI848285
1552,Tnfrsf13c
1553,1500009C09Rik
1554,Sept3
1555,Wbp2nl
1556,Cyp2d10
1557,Cyp2d9
1558,Cyp2d12
1559,Cyp2d34
1560,Cyp2d13
1561,Cyp2d37-ps
1562,Cyp2d40
1563,Cyp2d26
1564,Nfam1
1565,Mpped1
1566,Efcab6
1567,Sult4a1
1568,Parvg
1569,1810041L15Rik
1570,Upk3a
1571,Ribc2
1572,Gm19277
1573,Fbln1
1574,Wnt7b
1575,AU022754
1576,Pkdrej
1577,Fam19a5
1578,Mlc1
1579,Mov10l1
1580,Adm2
1581,Miox
1582,Mapk8ip2
1583,Acr
1584,Syt10
1585,Abcd2
1586,Cntn1
1587,Pdzrn4
1588,Adamts20
1589,Tmem117
1590,Nell2
1591,Dbx2
1592,2610037D02Rik
1593,Slc38a4
1594,Vdr
1595,Col2a1
1596,Olfr287
1597,Prph
1598,Dnajc22
1599,Kcnh3
1600,Faim2
1601,Aqp2
1602,Aqp5
1603,Aqp6
1604,Gpd1
1605,Mettl7a3
1606,AB099516
