,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2,TRA
Tff3,0.9608,0.03920000000000001,3.199089279275342,8.175876e-05,9.539256e-06,0.0,0.25,2.427417,2.7224197,2.6012707,-5.113187,9.932342,1.7988235,0.048373643,0.1467615573231239,0.006839032527105926,1.0094681,0.03032405,True,WT vs Aire_KO,WT,Aire_KO,True
Zfp804b,0.9234,0.0766,2.489465313607592,3.0225572e-05,1.5589668e-06,0.0,0.25,2.4226909,1.9102459,2.6922326,-3.5641098,10.957628,0.33060205,0.00083402835,0.05765205430297289,0.0008340283569641367,0.22551559,0.00056142895,False,WT vs Aire_KO,WT,Aire_KO,True
Gas1,0.9518,0.04820000000000002,2.982995710668006,8.6058244e-05,1.6200633e-05,0.0,0.25,2.4080644,2.405376,2.8149488,-7.9377327,15.057386,0.6120403,0.08807336,0.1498116141379081,0.032193494578815554,0.57621,0.076457836,True,WT vs Aire_KO,WT,Aire_KO,False
Ccl8,0.9554,0.04459999999999997,3.0643960281814424,4.636441e-05,1.1234218e-05,0.0,0.25,2.4020376,2.4895768,2.6187959,-6.85001,11.107782,1.1400597,0.05421188,0.07732791101010623,0.016513761467889913,0.6585547,0.037390403,True,WT vs Aire_KO,WT,Aire_KO,False
Heph,0.9584,0.04159999999999997,3.1371648301434383,2.172288e-05,5.4517727e-06,0.0,0.25,2.4014208,2.592101,2.207307,-7.3358135,9.450548,0.1642839,0.027356105,0.08749476705938457,0.0190158465387823,0.108115524,0.019521305,True,WT vs Aire_KO,WT,Aire_KO,False
Crabp2,0.9554,0.04459999999999997,3.0643960281814424,6.606749e-05,1.7048074e-05,0.0,0.25,2.3799117,2.4897532,2.2290318,-8.805472,12.097786,0.44913617,0.09941615,0.08994677351832817,0.02969140950792315,0.24803802,0.072909325,True,WT vs Aire_KO,WT,Aire_KO,True
Pdgfc,0.9532,0.04679999999999995,3.0139413391167738,1.8545958e-05,2.1949731e-06,0.0,0.25,2.3796241,2.258562,2.2407396,-5.3305435,10.388188,0.13910629,0.012510416,0.07517492972908259,0.01117597998331944,0.12629004,0.008514318,True,WT vs Aire_KO,WT,Aire_KO,False
Gm20275,0.9362,0.06379999999999997,2.6860757924569056,3.7337493e-05,2.765478e-06,0.0,0.25,2.3487284,1.913948,2.2651627,-4.123451,10.240133,0.4752728,0.02668888,0.17666407511512594,0.025187656380316854,0.36265057,0.018993806,False,WT vs Aire_KO,WT,Aire_KO,False
Mdga2,0.9346,0.06540000000000001,2.65959622959775,6.538153e-05,5.8964442e-06,0.0,0.25,2.333248,2.0508366,2.196987,-3.7460089,9.376465,0.5398538,0.02235194,0.14574487171819583,0.019182652210175125,0.40590128,0.015172403,False,WT vs Aire_KO,WT,Aire_KO,True
Ins2,0.96,0.040000000000000036,3.1780535907646423,2.785477e-05,4.0800237e-06,0.0,0.25,2.3109531,2.525219,2.8937297,-6.010007,11.664465,0.6749577,0.0,0.05250882124274914,0.0,0.36156458,0.0,True,WT vs Aire_KO,WT,Aire_KO,True
Ddx60,0.9506,0.0494,2.9571427480765746,5.7311303e-05,1.2005336e-05,0.0,0.25,2.3099377,2.426671,1.9650867,-5.628522,7.7089157,0.5045157,0.06105099,0.20519107708869588,0.03469557964970799,0.36532626,0.047865503,True,WT vs Aire_KO,WT,Aire_KO,False
Frmd5,0.9492,0.050799999999999956,2.9277229836619862,2.3657642e-05,2.7974104e-06,0.0,0.25,2.3062532,2.131997,1.8056195,-2.875513,8.092647,0.2493235,0.0181818,0.09652532743256709,0.01668056713928274,0.15359236,0.010708395,True,WT vs Aire_KO,WT,Aire_KO,True
Fmo1,0.9412,0.05879999999999996,2.7730136425053487,3.8898583e-05,6.7908986e-06,0.0,0.25,2.2965806,2.348971,1.7749234,-4.152586,7.517786,0.17480911,0.02001667,0.06728066503199588,0.012010008340283578,0.109239265,0.013416348,False,WT vs Aire_KO,WT,Aire_KO,False
Prom1,0.9534,0.046599999999999975,3.0184337975356508,3.1403364e-05,5.814013e-06,0.0,0.25,2.2852516,2.360825,1.9915748,-5.8936033,8.699854,0.28102195,0.016346946,0.10322349141797399,0.010341951626355303,0.17256692,0.012463324,True,WT vs Aire_KO,WT,Aire_KO,True
Slc8a1,0.9178,0.08220000000000005,2.4128240891397246,3.8747632e-05,3.0668607e-06,0.0,0.25,2.2753026,1.6929703,2.2677152,-3.7401142,9.488479,0.3778495,0.0068390295,0.1275043358650746,0.006505421184320271,0.27282566,0.0053685554,False,WT vs Aire_KO,WT,Aire_KO,False
Ptprm,0.9368,0.06320000000000003,2.6961653635774967,2.4286437e-05,2.6478992e-06,0.0,0.25,2.2745817,2.1586866,2.1257906,-3.8634834,8.532953,0.14622253,0.004670558,0.08049757789605771,0.004670558798999168,0.12349721,0.003898365,False,WT vs Aire_KO,WT,Aire_KO,False
