,0
1380,Dctn2
1381,Mbd6
1382,Ddit3
1383,Mars
1384,Arhgap9
1385,Gli1
1386,R3hdm2
1387,Stac3
1388,Shmt2
1389,Nxph4
1390,Lrp1
1391,Stat6
1392,Nab2
1393,1700012D01Rik
1394,Tmem194
1395,Zbtb39
1396,Gpr182
1397,Prim1
1398,Naca
1399,Ptges3
1400,Atp5b
1401,Baz2a
1402,Rbms2
1403,Spryd4
1404,Mip
1405,Timeless
1406,Stat2
1407,Pan2
1408,Cnpy2
1409,Cs
1410,Coq10a
1411,Ankrd52
1412,Obfc2b
1413,Rnf41
1414,Smarcc2
1415,Myl6
1416,Myl6b
1417,Esyt1
1418,Zc3h10
1419,Rpl41
1420,Pa2g4
1421,Rps26
1422,Ikzf4
1423,Suox
1424,Rab5b
1425,Cdk2
1426,Pmel
1427,Dgka
1428,Wibg
1429,Mmp19
1430,Tmem198b
1431,Dnajc14
1432,Ormdl2
1433,Sarnp
1434,Gdf11
1435,Cd63
1436,Rdh5
1437,Bloc1s1
1438,Itga7
1439,Mir684-1
1440,Pisd-ps1
1441,Sfi1
1442,Eif4enif1
1443,Mir3470a
1444,Drg1
1445,Patz1
1446,Gm11944
1447,Pik3ip1
1448,Limk2
1449,Rnf185
1450,8430429K09Rik
1451,Selm
1452,Smtn
1453,Tug1
1454,Morc2a
1455,Osbp2
1456,4921536K21Rik
1457,Dusp18
1458,Slc35e4
1459,Tcn2
1460,Pes1
1461,Mtfp1
1462,Rnf215
1463,Ccdc157
1464,Sf3a1
1465,Tbc1d10a
1466,Gatsl3
1467,Hormad2
1468,Mtmr3
1469,Ascc2
1470,Uqcr10
1471,Zmat5
1472,Nf2
1473,Nipsnap1
1474,Thoc5
1475,Ap1b1
1476,Gas2l1
1477,Rasl10a
1478,Ewsr1
1479,Rhbdd3
1480,Emid1
1481,Kremen1
1482,Znrf3
1483,Xbp1
1484,Ccdc117
1485,Mrps24
1486,Urgcp
1487,2210015D19Rik
1488,Dbnl
1489,Pgam2
1490,Polm
1491,Aebp1
1492,Pold2
1493,Ykt6
1494,Nudcd3
1495,Ddx56
1496,Tmed4
1497,Ogdh
1498,Zmiz2
1499,Ppia
1500,H2afv
1501,Purb
1502,Myo1g
1503,Gm11974
1504,Ccm2
1505,Nacad
1506,Tbrg4
1507,Ramp3
1508,Igfbp3
1509,Tns3
1510,Hus1
1511,Gm11992
1512,Upp1
1513,Zpbp
1514,4930415F15Rik
1515,Fignl1
1516,Grb10
1517,Cobl
1518,Sec61g
1519,Egfr
1520,Fbxo48
1521,Plek
1522,Cnrip1
1523,Ppp3r1
1524,Pno1
1525,Wdr92
1526,C1d
1527,Etaa1
1528,Meis1
1529,Spred2
1530,Actr2
1531,Rab1
1532,Cep68
1533,Slc1a4
1534,Sertad2
1535,Aftph
1536,1110067D22Rik
1537,Peli1
1538,Vps54
1539,Ugp2
1540,Mdh1
1541,Wdpcp
1542,Ehbp1
1543,Tmem17
1544,B3gnt2
1545,Commd1
1546,Zrsr1
1547,Cct4
1548,Fam161a
1549,Xpo1
1550,Usp34
1551,Ahsa2
1552,Gm12060
1553,0610010F05Rik
1554,Pex13
1555,Pus10
1556,Rel
1557,Papolg
1558,Bcl11a
1559,Fancl
1560,Vrk2
1561,Efemp1
1562,Pnpt1
1563,Smek2
1564,Ccdc104
1565,Ccdc88a
1566,Prorsd1
1567,Mtif2
1568,Rps27a
1569,1700034F02Rik
1570,Rtn4
1571,Eml6
1572,Spnb2
1573,Acyp2
1574,Psme4
1575,Erlec1
1576,Asb3
