Gene Symbol,Ensembl ID,GNF GeneAtlas
Pom121l2,ENSMUSG00000016982,TRE
Matn4,ENSMUSG00000016995,TRE
Svs4,ENSMUSG00000016998,TRE
Svs5,ENSMUSG00000017004,TRE
Rbpjl,ENSMUSG00000017007,TRE
Ccdc70,ENSMUSG00000017049,TRE
Prl5a1,ENSMUSG00000017064,TRE
Gast,ENSMUSG00000017165,TRE
Zpbp2,ENSMUSG00000017195,TRE
Gsdma,ENSMUSG00000017204,TRE
Gsdma2,ENSMUSG00000017211,TRE
Cd300lg,ENSMUSG00000017309,TRE
Spint4,ENSMUSG00000017310,TRE
Pyy,ENSMUSG00000017311,TRE
Mpp2,ENSMUSG00000017314,TRE
Ppy,ENSMUSG00000017316,TRE
Vtn,ENSMUSG00000017344,TRE
Stac2,ENSMUSG00000017400,TRE
Cacnb4,ENSMUSG00000017412,TRE
Plxdc1,ENSMUSG00000017417,TRE
C1qtnf1,ENSMUSG00000017446,TRE
Pipox,ENSMUSG00000017453,TRE
Rarb,ENSMUSG00000017491,TRE
Cdc6,ENSMUSG00000017499,TRE
Atad5,ENSMUSG00000017550,TRE
Rab11fip4,ENSMUSG00000017639,TRE
Cd40,ENSMUSG00000017652,TRE
Zfp334,ENSMUSG00000017667,TRE
Ttpal,ENSMUSG00000017679,TRE
Hnf4g,ENSMUSG00000017688,TRE
Rhbdl3,ENSMUSG00000017692,TRE
Ada,ENSMUSG00000017697,TRE
Afmid,ENSMUSG00000017718,TRE
Trp53tg5,ENSMUSG00000017720,TRE
Spinlw1,ENSMUSG00000017733,TRE
Dbndd2,ENSMUSG00000017734,TRE
Mmp9,ENSMUSG00000017737,TRE
Slc12a5,ENSMUSG00000017740,TRE
1700020C07Rik,ENSMUSG00000017767,TRE
Jph2,ENSMUSG00000017817,TRE
Hspb9,ENSMUSG00000017832,TRE
Mybl2,ENSMUSG00000017861,TRE
Sgk2,ENSMUSG00000017868,TRE
Eya2,ENSMUSG00000017897,TRE
Prl3c1,ENSMUSG00000017922,TRE
Gdap1l1,ENSMUSG00000017943,TRE
Hnf4a,ENSMUSG00000017950,TRE
Cyth4,ENSMUSG00000018008,TRE
Ikzf3,ENSMUSG00000018168,TRE
Wfdc15b,ENSMUSG00000018211,TRE
Gdf9,ENSMUSG00000018238,TRE
Prl8a2,ENSMUSG00000018259,TRE
Tbx5,ENSMUSG00000018263,TRE
Ksr1,ENSMUSG00000018334,TRE
Il12rb2,ENSMUSG00000018341,TRE
Abi3,ENSMUSG00000018381,TRE
Shroom1,ENSMUSG00000018387,TRE
Slc13a3,ENSMUSG00000018459,TRE
Kcnab3,ENSMUSG00000018470,TRE
1700125H20Rik,ENSMUSG00000018479,TRE
Adora2b,ENSMUSG00000018500,TRE
Cenpv,ENSMUSG00000018509,TRE
1700001P01Rik,ENSMUSG00000018543,TRE
