,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Ptbp3,0.30831277,0.251562,0.38335264,0.26409867,0.31094113,0.34766835,0.3847972,0.30636773,0.42690468,0.39190155,0.5297929,0.24677104,0.30715576,0.30954137,0.35583666,0.6137318,0.37248197
Hsdl2,0.17084783,0.06609994,0.091568224,0.09726607,0.063893974,0.07336853,0.09082272,0.16058995,0.15719903,0.08821353,0.29314545,0.09327915,0.16918978,0.12227566,0.15364017,0.122319095,0.15338263
E130308A19Rik,0.07389549,0.025945244,0.020728346,0.03322687,0.04346009,0.080711365,0.043244753,0.031602446,0.010864419,0.027411507,0.13069022,0.05555438,0.07552159,0.053339113,0.0038610636,0.018082475,0.04505429
Inip,0.12500581,0.10667918,0.08691475,0.11528179,0.14389354,0.12898706,0.07375845,0.031997733,0.028574722,0.06463199,0.11231974,0.09697714,0.07759933,0.2128529,0.016864097,0.04449968,0.13982806
Snx30,0.037165686,0.0021914402,0.0531696,0.022753192,0.01916116,0.016935103,0.016034195,0.0017814757,0.0069489214,0.031367645,0.013649769,0.011047762,0.07435872,0.00915118,0.0,0.014887956,0.01643126
Zfp37,0.0,0.0061029675,0.035881106,0.0072489637,0.0,0.002305355,0.0,0.0,0.006954289,0.0,0.0,0.0064788177,0.0065621473,0.0,0.0,0.0035949724,0.00483504
Slc31a2,0.027249454,0.031575378,0.06578112,0.03653294,0.026492566,0.04249545,0.045735113,0.021922508,0.006662608,0.040855814,0.051008753,0.048289023,0.11780369,0.040371474,0.034269217,0.06892019,0.040728208
Fkbp15,0.057480324,0.07349701,0.07233365,0.050593056,0.068620645,0.049700383,0.06109525,0.073206134,0.102917306,0.0946923,0.039505914,0.06988142,0.08828643,0.07376454,0.081541955,0.06513199,0.0596063
Slc31a1,0.30719575,0.44266164,0.27888858,0.29796964,0.4267385,0.3981555,0.3078661,1.0780174,0.98565674,1.2926247,0.5238602,0.4607686,0.429848,0.7727111,0.73856336,0.96884537,0.50164104
Cdc26,0.28802428,0.4360734,0.47106475,0.5014786,0.45770884,0.5831192,0.4089121,0.17516842,0.13309923,0.30790037,0.39894533,0.29203779,0.2616192,0.51035756,0.094086595,0.20999707,0.48207664
Prpf4,0.14636846,0.071438745,0.09051853,0.0920769,0.19996056,0.15052862,0.07646041,0.022700367,0.03696607,0.07749788,0.067812,0.1260026,0.10601108,0.16956502,0.010514299,0.055588916,0.19459237
Rnf183,0.0,0.0,0.014595224,0.0,0.0,0.0,0.0,0.0,0.0,0.09332352,0.0,0.017165003,0.04850449,0.005130818,0.011931421,0.016282864,0.028009959
Wdr31,0.061590765,0.009719417,0.022088628,0.06261464,0.047864985,0.0597586,0.0489519,0.0024929126,0.0,0.012615476,0.0,0.006722841,0.025715424,0.05341569,0.0,0.0041549127,0.029143637
Bspry,0.27874517,0.36479214,0.3137499,0.43691725,0.44527888,0.538371,0.47754377,0.17342415,0.3557402,0.9593047,0.19758825,0.4463995,0.28468233,0.60968876,0.26971984,0.5726003,0.760671
Hdhd3,0.2349558,0.15407237,0.14099406,0.288525,0.34554332,0.2725831,0.24966706,0.8078788,0.6858232,0.9228241,0.1369602,0.23940712,0.17457992,0.4828591,0.68769866,0.6246606,0.3706919
Alad,0.6766545,0.47433966,0.4010214,0.5040478,0.69671756,0.7176388,0.45345765,0.59489673,0.40632117,0.3124174,0.56006813,0.445569,0.3850956,0.6158524,0.6168637,0.4674086,0.77785575
Pole3,0.31441897,0.29595217,0.18496135,0.3724132,0.5324181,0.69179314,0.3154673,0.22428046,0.18265614,0.10700645,0.18776044,0.23633116,0.11892205,0.32155767,0.21536654,0.2081903,0.59501094
Rgs3,0.019273631,0.016523788,0.032907456,0.010173539,0.01925869,0.04995327,0.016671838,0.014144863,0.020465408,0.015175031,0.0074939574,0.0,0.008974055,0.015408784,0.01276432,0.008708414,0.023452496
Zfp618,0.018711213,0.007210524,0.051398378,0.043258786,0.00994641,0.04537508,0.025147105,0.0,0.013067008,0.0,0.011960106,0.018316431,0.0,0.0,0.0,0.0021804855,0.015833408
Ambp,0.0,0.0020722114,0.21702681,0.007187561,0.0040544462,0.006068816,0.004897367,0.0036786792,0.014290487,0.0,0.0,0.0,0.35174075,0.0,0.0020954257,0.0,0.0013172327
Kif12,0.017793983,0.026074303,0.1869679,0.09614728,0.080163635,0.12001366,0.10670127,0.0031079676,0.0054822587,0.0,0.023976214,0.042147562,0.122161135,0.0016718326,0.0,0.006197733,0.053476457
Col27a1,0.0,0.0,0.011233466,0.0020382663,0.0,0.0,0.0,0.0,0.0,0.0069053974,0.0,0.0,0.012509331,0.0,0.0,0.0,0.0
Akna,0.011291031,0.007636074,0.0369532,0.007939737,0.009802938,0.008494069,0.01974319,0.0045086783,0.0,0.0,0.010466297,0.0,0.019375162,0.0018447613,0.0,0.0,0.0019104414
Whrn,0.048829738,0.036073025,0.22384499,0.064594924,0.071288645,0.09754825,0.0850482,0.011789372,0.029839506,0.03421548,0.015355202,0.0468914,0.1118419,0.11490447,0.021848878,0.026207775,0.049586307
Atp6v1g1,1.1158409,0.86443156,1.2317187,0.7562929,0.66554105,0.7728039,0.55124056,0.8191894,0.9904847,1.2589103,1.8285067,1.0394486,1.6015038,1.3721279,1.2502191,1.5637859,1.1663451
6330416G13Rik,0.038512714,0.043396533,0.026785629,0.03907294,0.04142684,0.03368726,0.037365414,0.037570637,0.04416445,0.04326418,0.021742232,0.025554594,0.01873116,0.092446215,0.026746819,0.05965067,0.0749629
Tnfsf15,0.0,0.0015195687,0.0,0.0017655466,0.0,0.0,0.0040200413,0.0025711781,0.0,0.006633808,0.0075850594,0.009395597,0.021689892,0.012537138,0.037752014,0.013303662,0.019567091
Trim32,0.100943774,0.041338425,0.04542682,0.10767504,0.057503384,0.10726895,0.085641064,0.018520556,0.02114497,0.16469082,0.123397835,0.05654221,0.11169601,0.1102134,0.029149015,0.051992554,0.120237134
Tlr4,0.0,0.0,0.0,0.00062601076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002483354,0.00091446156
Cdk5rap2,0.049147364,0.025745308,0.038208492,0.030617211,0.086745284,0.14022796,0.029978769,0.010813153,0.0021579247,0.0016830795,0.017789781,0.026987277,0.043166723,0.0642075,0.01437069,0.007949605,0.05895492
Megf9,0.016712505,0.023364551,0.029745951,0.010370427,0.034041997,0.018317971,0.003048052,0.0034891316,0.0056224167,0.036793385,0.0075850594,0.03234011,0.082568124,0.048567355,0.011808326,0.034298237,0.018811863
Tle1,0.107332736,0.29047942,0.20509706,0.15633795,0.15162551,0.15735209,0.13554288,0.12175379,0.06269343,0.08564767,0.22854209,0.29602545,0.31730238,0.3417654,0.12313997,0.14778784,0.413698
Aldoart1,0.0856392,0.05612974,0.047548767,0.033500914,0.039240465,0.02383854,0.039145302,0.09670383,0.083555035,0.13569276,0.16048661,0.036634743,0.083110504,0.14789036,0.24247675,0.18237054,0.07078585
Rasef,0.0050745537,0.14194004,0.022513127,0.08077797,0.053959243,0.06456519,0.036116615,0.0106232865,0.018696235,0.0055123526,0.0,0.04969208,0.0,0.021190653,0.0036130769,0.018763965,0.062247302
Kdm4c,0.01340615,0.030273164,0.022356177,0.020230306,0.026019337,0.011636351,0.026482146,0.014427017,0.02636251,0.025589127,0.07091445,0.022644678,0.053364847,0.03378539,0.015327682,0.0129622705,0.027431637
A230083N12Rik,0.006971105,0.0,0.0,0.0021910581,0.0,0.0015645216,0.0,0.0,0.0045376397,0.0,0.0,0.0,0.012222746,0.00212735,0.0,0.0,0.0032627597
Tmem261,0.3750115,0.35381064,0.38199654,0.5235527,0.52899164,0.5384334,0.3823156,0.20979896,0.16549022,0.16549644,0.19869551,0.34459615,0.20929657,0.40474942,0.14804058,0.15880108,0.439263
Ptprd,0.09271208,0.053734455,0.04905449,0.0867311,0.10358088,0.13627644,0.09829029,0.0384552,0.08265566,0.16543752,0.103437394,0.07867818,0.016776854,0.08000612,0.106841534,0.1765073,0.08441137
Lurap1l,0.3942565,0.3957873,0.32975084,0.3624175,0.28558686,0.39468098,0.27723548,0.2998235,0.34234205,0.43301845,0.32760602,0.37642327,0.36592248,0.4495009,0.3915912,0.55533224,0.52285624
