,Club_respiratory,Basal_respiratory,Ciliated_respiratory,Tuft_respiratory,Neuroendocrine_respiratory,Goblet_respiratory,Ionocyte_respiratory
Alpl,0.0033016137,0.07186715,0.0019601854,0.03693162,0.018407205,0.016045298,0.0
Ece1,0.54497826,0.60002345,0.22248018,0.31773272,0.47646353,0.4338474,0.456666
Gm13012,0.0,0.00044386828,0.0,0.0,0.0,0.0,0.0
Eif4g3,0.14523458,0.13456085,0.40022153,0.20230037,0.21307348,0.12567838,0.20192398
2310026L22Rik,0.0010039618,0.00085340906,0.011002589,0.0,0.0,0.0,0.0
Hp1bp3,0.18395413,0.20417884,0.13357107,0.27285373,0.2051804,0.15535502,0.05864876
Sh2d5,0.000684201,0.00035578094,0.0,0.0064943642,0.0,0.0,0.0
Kif17,0.0024765749,0.0071856584,0.018221611,0.012104728,0.0,0.0,0.05354803
Ddost,0.6955464,0.77195185,0.6831415,0.87498724,0.8510334,1.3343875,0.68033683
Pink1,0.35873002,0.29236305,0.58364654,0.7445499,0.22106242,0.33991218,0.4153685
Cda,0.06901418,0.011280536,0.004927142,0.09727571,0.0,0.0,0.0
Mul1,0.10752977,0.08209996,0.17762768,0.22946832,0.09215355,0.1955663,0.0632273
Camk2n1,0.663938,0.6215798,0.40312034,0.99572587,1.3288012,0.5649027,0.9672387
Vwa5b1,0.0,0.0,0.0,0.0,0.013105688,0.0,0.0
Ubxn10,0.050767016,0.022273751,0.9252343,0.013724016,0.08482892,0.02234804,0.104723014
Pla2g2c,0.016429514,0.0011753216,0.036985263,0.0,0.034582827,0.07464127,0.04876802
Pla2g2f,0.0,0.00030288237,0.0,0.0,0.0,0.0,0.060605686
Pla2g2d,0.0,0.0,0.0027202542,0.0,0.0067266934,0.0,0.0
Gm13030,0.0,0.0,0.009206793,0.0,0.0,0.0,0.0
Pla2g2e,0.0007458773,0.0,0.0,0.009883593,0.0,0.0,0.0
Otud3,0.04061458,0.038907893,0.20417604,0.030843541,0.008752078,0.021749845,0.052572608
Rnf186,0.54407877,0.21310866,0.37737522,0.05420462,0.12207213,0.20683938,0.13655876
Tmco4,0.07364124,0.07425971,0.05180599,0.059913382,0.062873095,0.09567521,0.27285358
Htr6,0.0008942812,0.008641956,0.0,0.0,0.0,0.0,0.0
Nbl1,0.6152608,1.149886,0.1553905,0.41466329,0.85850805,0.16661592,1.2103823
Minos1,1.252843,1.5417218,1.7030722,1.586716,1.8217007,1.040165,2.0859075
Gm16287,0.0067093163,0.018740673,0.024925837,0.0,0.021024369,0.010563259,0.047553845
Capzb,0.9898342,1.3706888,1.1992785,1.0784807,1.1326019,0.8648752,1.1980008
Pqlc2,0.05580641,0.05301792,0.037928343,0.029713888,0.02667152,0.06441829,0.14102708
Akr7a5,0.43060666,0.49770537,0.71140933,0.5652384,0.7236176,0.38773394,0.4429221
Mrto4,0.1217349,0.22285734,0.096121,0.12708808,0.19861032,0.086175404,0.1937781
Emc1,0.05834242,0.05927658,0.07936236,0.11145584,0.07498386,0.03740314,0.10853864
Ubr4,0.13851586,0.13317296,0.30674544,0.18691486,0.2647464,0.13168083,0.45773154
2700016F22Rik,0.0026691933,0.006431419,0.0024996963,0.0,0.0,0.0,0.0
Iffo2,0.1859538,0.21022882,0.9636103,0.09609395,0.11921693,0.21365839,0.0
Aldh4a1,0.077428065,0.08932122,0.087864146,0.10453655,0.044666782,0.057040773,0.053029496
Tas1r2,0.0011761637,0.002113631,0.010121797,0.0069846204,0.0,0.0,0.0
Pax7,0.0050297854,0.0027612413,0.0049507017,0.009042898,0.0075652865,0.0,0.0
Klhdc7a,0.028173206,0.015199046,0.13377717,0.039038647,0.0,0.111118376,0.05864876
Igsf21,0.0,0.00032872456,0.0015724875,0.0,0.0,0.0,0.0
Arhgef10l,0.054013,0.036044706,0.032667395,0.02042151,0.04158846,0.09216693,0.0
Rcc2,0.14458582,0.24212292,0.3534485,0.2857596,0.2067888,0.16527219,0.26058078
Padi6,0.00018442082,0.00028243795,0.0,0.0,0.0,0.0,0.0
Padi4,0.005310773,0.0051759584,0.0042490093,0.0,0.015739156,0.0,0.0
Padi3,0.00040854374,0.00093603483,0.0,0.0,0.0,0.0,0.0
Padi1,0.1568144,0.1381275,0.01701877,0.22854541,0.077082984,0.1747725,0.07645604
Padi2,0.008701156,0.0015062989,0.0031267498,0.0424003,0.0,0.13950732,0.0
Gm13031,0.0023160758,0.00087754655,0.0,0.0,0.0,0.0,0.0
Sdhb,0.9522602,1.0717154,1.1944073,1.1718048,1.0147157,0.7584316,1.425665
Atp13a2,0.06712005,0.08805703,0.10089487,0.2015097,0.068737246,0.10313745,0.043569736
Mfap2,0.004768831,0.0021661883,0.005536938,0.0,0.0,0.0,0.0
Crocc,0.020851439,0.01787151,0.20554346,0.0,0.0,0.007104906,0.0
Necap2,0.27292904,0.36773163,0.21311258,0.21280876,0.24009211,0.16876808,0.19675057
Szrd1,0.208571,0.19886522,0.28580564,0.23047774,0.21387987,0.119888306,0.13857757
4921514A10Rik,0.000297321,0.0004962094,0.0,0.0,0.0,0.0,0.0
Fbxo42,0.048948407,0.04155353,0.10781335,0.06059526,0.07483233,0.065532394,0.0
Rsg1,0.0012648415,0.0031304942,0.006945958,0.0,0.0,0.0,0.0
Arhgef19,0.07238476,0.10073102,0.08209609,0.02931806,0.03269358,0.0779394,0.0
Gm13055,0.0013975048,0.0014796766,0.0023623786,0.0,0.0,0.0,0.0
Gm13056,0.18628691,0.1630235,0.06624639,0.056576796,0.02573244,0.096245565,0.08969952
Epha2,0.46061432,0.58477354,0.26807526,0.19449183,0.22409934,0.39038312,0.13480073
Gm13074,0.0061665014,0.0029615005,0.07104301,0.0,0.0,0.10966486,0.0
Fam131c,0.056098025,0.05425741,0.11683751,0.007661385,0.008792383,0.07054301,0.043569736
Clcnka,0.00018863555,0.0,0.0,0.0,0.0,0.0,0.0
Gm13075,0.0003057984,0.00032586258,0.0073164445,0.0,0.0,0.0,0.0
Clcnkb,0.0,0.0,0.0,0.0,0.0,0.0,0.24804783
Hspb7,0.0,0.0,0.0,0.0,0.0,0.0,0.052572608
Gm694,0.0,0.00019014173,0.002114834,0.0,0.0,0.0,0.0
Zbtb17,0.03439781,0.043814026,0.02551895,0.056092378,0.029338216,0.014572187,0.056016013
Spen,0.06760875,0.07635854,0.091299094,0.13902675,0.079109356,0.06298957,0.098557696
Fblim1,0.01743427,0.02264493,0.049646042,0.10099306,0.0,0.03950389,0.0
Tmem82,0.0030807885,0.0002889193,0.003563204,0.0,0.0,0.0,0.0
Slc25a34,0.0010236842,0.00095311727,0.025362851,0.0,0.0,0.0,0.0
Plekhm2,0.031639513,0.02038158,0.046561558,0.027128302,0.029407457,0.041155178,0.0
Ddi2,0.18459775,0.18676448,0.2078606,0.22115466,0.1935122,0.24362634,0.16725513
Agmat,0.0,0.0,0.035618305,0.0,0.0,0.0,0.0
Dnajc16,0.039679695,0.019465292,0.14152609,0.007747202,0.090016745,0.0,0.0
Casp9,0.022676047,0.029234188,0.025853751,0.090906285,0.04767594,0.0,0.036243048
