,EPI_skin.coarse,ANA_skin.coarse,FIB_skin.coarse,MEL_skin.coarse
Hspa4,0.1900554895401001,0.4203838109970093,0.1334441602230072,0.3508855104446411
Zcchc10,0.06377188116312027,0.12433861941099167,0.046488046646118164,0.10866639018058777
Aff4,0.15492458641529083,0.1250765323638916,0.09355903416872025,0.20162197947502136
Leap2,0.0,0.0,0.0,0.0
Uqcrq,1.0116082429885864,1.8342375755310059,0.8534713983535767,2.0216431617736816
Gdf9,0.0002887071168515831,0.00045258254976943135,0.009222612716257572,0.0
Gm10447,0.0,0.0,0.0,0.0
Shroom1,0.0,0.0011546674650162458,0.00467898091301322,0.011489124968647957
Gm12212,0.0,0.0,0.0,0.0
Gm9837,0.0,0.0,0.0,0.0
Sowaha,0.0014141431311145425,0.0,0.0,0.0
Gm9945,0.0002364192478125915,0.0,0.0,0.011489124968647957
Sept8,0.09920093417167664,0.031930722296237946,0.13562269508838654,0.09115347266197205
Kif3a,0.03893780708312988,0.0838368833065033,0.014890704303979874,0.15790444612503052
Il4,0.0,0.0,0.0,0.0
Il13,0.0005482390988618135,0.0,0.0,0.0
Rad50,0.05702225863933563,0.11885789781808853,0.05917913094162941,0.05680166184902191
Il5,0.0,0.0,0.0,0.0
Gm12214,0.0,0.0,0.0,0.0
Irf1,0.09756723791360855,0.019530314952135086,0.30256882309913635,0.07552804797887802
Gm17334,0.0014030745951458812,0.0,0.0,0.0
Gm12216,0.015797816216945648,0.009734837338328362,0.12026950716972351,0.0
Slc22a5,0.009536742232739925,0.007759048603475094,0.004774627275764942,0.004207173362374306
Slc22a21,0.003523478517308831,0.00332005531527102,0.0,0.010044465772807598
Slc22a4,0.1473422795534134,0.003978382330387831,0.02137775346636772,0.0
Pdlim4,0.13277198374271393,0.0394398495554924,0.3013373911380768,0.05677560344338417
P4ha2,0.0265110582113266,0.024636035785079002,0.3655860126018524,0.015096038579940796
4933405E24Rik,0.0,0.0,0.0,0.0
Csf2,0.0,0.00043112903949804604,0.0,0.0
Gm12223,0.0,0.0,0.0,0.0
Il3,0.0,0.0,0.0,0.0
Acsl6,0.0007479010964743793,0.0,0.0,0.0
Gm12224,0.0,0.0,0.0,0.0
Meikin,0.0,0.0,0.0,0.0
Fnip1,0.048674263060092926,0.02250555157661438,0.07190276682376862,0.17546695470809937
Rapgef6,0.07685773074626923,0.1049664318561554,0.04866734892129898,0.0806419625878334
Cdc42se2,0.047060348093509674,0.15282249450683594,0.05451911687850952,0.18776258826255798
Gm12227,0.0,0.0,0.0,0.0
Lyrm7os,0.0,0.0,0.0,0.0
Lyrm7,0.009700707159936428,0.031124137341976166,0.010725697502493858,0.004211382009088993
