,Tuft_intestine,Goblet_intestine,Endocrine_intestine,Stem_intestine,TA.G1_intestine,TA.G2_intestine,Paneth_intestine,Enterocyte.Mature.Proximal_intestine,Enterocyte.Mature.Distal_intestine
Ntpcr,0.10019707,0.19918098,0.15883987,0.20857756,0.1869316,0.1705987,0.21498415,0.03290059,0.05183191
A730098A19Rik,0.0,0.0,0.009094523,0.0,0.0,0.0,0.0,0.0,0.0
BC021891,0.037099052,0.038707096,0.042116098,0.18435861,0.12858668,0.16128998,0.19552828,0.036652632,0.042150762
Kcnk1,0.6869807,0.7748894,0.50448364,0.5941057,0.49381667,0.6928618,0.518645,0.031755712,0.08441931
Coa6,0.3433189,0.26638874,0.3028533,0.3816791,0.40396324,0.49416307,0.28359815,0.22524408,0.16673408
Gm17296,0.0054948246,0.0037440215,0.004316082,0.003012279,0.0058059595,0.009549688,0.012977219,0.0,0.0032193565
Gm26759,0.0,0.0050291885,0.003731468,0.011004563,0.0,0.004392236,0.0,0.0,0.0
Irf2bp2,0.25231916,0.22656575,0.3367415,0.5896241,0.47822228,0.7213595,0.63319963,0.19550908,0.13794078
Tomm20,0.25243273,0.23051286,0.31392804,0.35527092,0.31980282,0.31733286,0.2447458,0.105090514,0.08953795
Rbm34,0.25782126,0.10537659,0.21400228,0.20651852,0.21748255,0.2384612,0.15405008,0.07270419,0.08928488
Pard3,0.13599363,0.10758379,0.27643096,0.09837817,0.07847867,0.10992287,0.07235903,0.08142877,0.06134042
Nrp1,0.0,0.0,0.15008171,0.016563024,0.0019620527,0.021659805,0.01333088,0.0,0.0
Itgb1,0.4111948,0.2875458,0.37016967,0.3180575,0.36258814,0.383087,0.33186626,0.22550634,0.29348493
2610044O15Rik8,0.0840671,0.027571946,0.030484557,0.045929752,0.05934461,0.062076997,0.04390373,0.009526839,0.023507288
Gm5796,0.0,0.0,0.0,0.00077910227,0.0,0.0020828196,0.0,0.0,0.0
Gm3252,0.0046018795,0.0,0.0036295722,0.0006948589,0.0,0.0027918182,0.0,0.0,0.0
Gm8281,0.012528865,0.0,0.0059303814,0.003871411,0.0022510441,0.0,0.0,0.0,0.0
Gm8237,0.0,0.0,0.010053641,0.0,0.0,0.0,0.0,0.0,0.0
Gm3468,0.0117648905,0.0022818912,0.012259579,0.0027319111,0.0,0.0067414963,0.004466952,0.0,0.0
Gm3411,0.00894624,0.00445999,0.014640693,0.031779084,0.014420615,0.01834572,0.026506046,0.0010775734,0.0
Gm3636,0.0034223737,0.0,0.007853795,0.0124811055,0.013903601,0.0020252883,0.0029787517,0.0,0.0
Gm10406,0.004918833,0.0,0.0027319905,0.0,0.0,0.0,0.0,0.0,0.0
Flnb,0.10654308,0.17026044,0.14143755,0.12421479,0.1650155,0.1481413,0.16432887,0.3888751,0.36955544
Abhd6,0.040690806,0.061020162,0.051538546,0.049468186,0.06396852,0.06777894,0.061134208,0.46163824,0.545875
Rpp14,0.18302168,0.21243697,0.18719415,0.28080237,0.28948706,0.31247044,0.18842132,0.055253945,0.053828225
Pxk,0.067351304,0.09317106,0.093112566,0.086790495,0.08121959,0.061843608,0.09354825,0.15393612,0.17089802
Pdhb,0.315602,0.23486564,0.32026538,0.25238404,0.3768599,0.36522964,0.2349492,0.19538526,0.15660347
Kctd6,0.08030005,0.044947453,0.06069594,0.05303656,0.05675677,0.0691401,0.04790471,0.04210443,0.040711273
Acox2,0.0,0.020865291,0.0,0.0053026928,0.0007412081,0.0,0.009970355,0.017816499,0.039843243
Oit1,0.112646505,1.0511506,0.37654015,0.371022,0.23074864,0.41647372,0.26846868,0.6210714,0.5301752
4930452B06Rik,0.0,0.0,0.0,0.0007376843,0.0,0.0,0.0,0.0,0.0
Fhit,0.06913768,0.059711758,0.032186475,0.08830213,0.053094365,0.08202179,0.046125997,0.044147026,0.07461114
Rpl21-ps4,0.0069174552,0.017281627,0.001559207,0.014880624,0.006376008,0.024346797,0.015632655,0.003809288,0.006860615
Gm3839,0.0,0.0,0.005948492,0.0,0.0,0.0,0.0,0.0011768193,0.0032217216
Ptprg,0.008219748,0.015421544,0.028841231,0.03581037,0.012400074,0.034341875,0.05615283,0.037779458,0.026910102
3830406C13Rik,0.2486374,0.16582577,0.1605405,0.23328048,0.12276495,0.21700665,0.14698626,0.07762869,0.0864238
Cadps,0.005068215,0.0,0.045148,0.0,0.0,0.0,0.0,0.0016413173,0.0
Synpr,0.013803686,0.0015261589,0.0029029963,0.0,0.0,0.0,0.0,0.0,0.0
Gm11100,0.0,0.00539148,0.0018504481,0.00031897097,0.0007659071,0.008611308,0.0043351487,0.005873759,0.0030898363
Thoc7,1.1234217,0.73594135,1.0928333,1.2405175,1.294782,1.3803706,1.0633445,0.91549224,0.77327883
Atxn7,0.04801325,0.05169378,0.06924289,0.08154423,0.10569856,0.07945602,0.049402915,0.100021884,0.08171445
Psmd6,0.64128155,0.5703662,0.65204096,0.64005077,0.80442494,0.67836124,0.5026132,0.3479735,0.39044636
Il3ra,0.030160762,0.011227169,0.065459006,0.015112465,0.012297324,0.021897035,0.014646903,0.0019162826,0.007758808
Slc4a7,0.23564631,0.06736335,0.06732119,0.075453095,0.06447842,0.060253363,0.027038604,0.17879254,0.029528322
Lrrc3b,0.0,0.0,0.0,0.0009018201,0.0033606621,0.0,0.0,0.0,0.0
Oxsm,0.04126301,0.04675949,0.005710542,0.040375125,0.03422688,0.027438791,0.023393383,0.022793543,0.029621877
Ngly1,0.07443374,0.10995897,0.10516575,0.08379466,0.075902015,0.10394866,0.058137644,0.091338165,0.08199703
Top2b,0.29807672,0.1717903,0.2203298,0.21261893,0.22715747,0.22226812,0.21680911,0.063085645,0.080693744
Thrb,0.023819389,0.031246271,0.030066699,0.052424435,0.056316044,0.07400205,0.060011227,0.052999265,0.036735527
Nr1d2,0.041939896,0.014655795,0.032002248,0.06416342,0.0572173,0.0516088,0.053983152,0.04764291,0.060782228
Rpl15,0.84660524,0.714776,0.8968039,0.9697891,0.83012164,0.89547396,0.8865477,0.18181714,0.15011351
