,M.cell_intestine.ex.vivo,Tuft_intestine.ex.vivo,Goblet_intestine.ex.vivo,Endocrine_intestine.ex.vivo,TA_intestine.ex.vivo,Enterocyte.1_intestine.ex.vivo,Enterocyte.2_intestine.ex.vivo,Stem_intestine.ex.vivo
Ogfod2,0.0879335,0.17933826,0.1989443,0.2603612,0.18513775,0.1686835,0.1486411,0.21417542
Arl6ip4,0.39799574,0.4637089,0.44330835,0.49830437,0.7396235,0.22636619,0.26465696,0.72030944
Pitpnm2,0.004115703,0.0028338507,0.010759389,0.0,0.0046292883,0.0,0.0025512527,0.009853641
Mphosph9,0.002012059,0.0,0.024867857,0.031495173,0.037807368,0.0,0.0024976789,0.04848601
2810006K23Rik,0.017259976,0.0,0.029798653,0.014830983,0.079875775,0.015095284,0.014117567,0.058722254
Cdk2ap1,0.05347367,0.1378017,0.11823229,0.17626809,0.112304926,0.03433972,0.056269925,0.109798126
Sbno1,0.47016138,0.3656136,0.3277295,0.45998746,0.50424194,0.21934126,0.32473668,0.5716591
Setd8,0.5713489,0.62714165,0.5461387,0.51604223,0.53633463,0.41247812,0.4738054,0.56104726
Rilpl2,0.42287934,0.6481463,0.3601705,0.22512242,0.52017814,0.27030596,0.35251647,0.43012848
Snrnp35,0.06553787,0.02732529,0.03777613,0.028312482,0.13447948,0.03347401,0.041368354,0.08951662
Rilpl1,0.0036080931,0.049578454,0.009421456,0.04431924,0.003556427,0.0,0.006400509,0.004706643
Tmed2,0.686996,1.054394,0.96121126,0.6565197,1.1475465,0.44215047,0.6738137,0.9723557
Ddx55,0.11176381,0.061168145,0.09048979,0.14333877,0.16229562,0.028857894,0.04434303,0.17327486
Eif2b1,0.16628036,0.253924,0.3901973,0.23446867,0.36527753,0.08437505,0.13012429,0.52415484
Gtf2h3,0.10444354,0.17689183,0.11005289,0.077572934,0.2340846,0.0344572,0.06443838,0.2228875
Atp6v0a2,0.3771365,0.13595864,0.1434314,0.19543271,0.17780183,0.5501086,0.47173148,0.1276949
4930404A12Rik,0.0,0.0,0.0,0.005329702,0.0,0.0,0.0025862881,0.00077444635
Dnah10,0.0,0.0,0.0,0.0,0.0,0.005447141,0.006261773,0.0
Ccdc92,0.019125625,0.11270846,0.040195294,0.08582246,0.036636528,0.0076566064,0.021580053,0.046371467
Zfp664,0.07420949,0.29289126,0.1893842,0.23570691,0.1828793,0.04855324,0.06703369,0.22221872
Fam101a,0.0,0.098156475,0.0,0.05662436,0.0,0.0,0.0,0.0
Ncor2,0.17201896,0.0462895,0.080347225,0.13690098,0.115601026,0.041610744,0.11590853,0.09874418
Gm42637,0.0,0.0,0.0,0.046274282,0.0,0.0,0.0018438329,0.0
Scarb1,0.15514238,0.08734605,0.17375587,0.39852598,0.19997224,0.4262055,0.3888007,0.23133107
Ubc,2.4694383,2.0605183,1.5353087,1.793384,1.9286298,2.1842315,2.4767547,1.5349007
Gm10382,0.005108594,0.0,0.006534544,0.008512953,0.0,0.0068969317,0.0,0.0033460408
Dhx37,0.011044517,0.03580622,0.026298247,0.0,0.018062757,0.0072396826,0.0068659554,0.022023434
Bri3bp,0.4597953,0.1265846,0.28527337,0.37740186,0.6220851,0.52004755,0.40903392,0.65447485
Aacs,0.15775923,0.15082583,0.2842824,0.24530457,0.2836399,0.17146826,0.17112969,0.26563662
Tmem132b,0.0,0.0,0.0,0.011785336,0.0,0.0,0.0,0.0006914588
Slc15a4,0.11745115,0.04653735,0.09148964,0.06850398,0.122852795,0.042686418,0.05457826,0.09666984
Glt1d1,0.0,0.0,0.03403389,0.028434884,0.012981791,0.0,0.0,0.01303705
Rimbp2,0.0018341391,0.0,0.0,0.35763285,0.0010838292,0.0058138785,0.0,0.0008667802
Stx2,0.0020204093,0.013524689,0.010365641,0.017949764,0.0031762864,0.0,0.0,0.018539738
Ran,0.7165454,1.115844,1.3429426,1.0453734,2.3651018,0.42644018,0.7130276,2.455547
Adgrd1,1.1774677,0.075398594,0.022053208,0.038782004,0.4501227,0.051142372,0.2329057,0.0012332571
Sfswap,0.20200104,0.091946214,0.114520356,0.1346235,0.22425012,0.09971896,0.16926563,0.20409358
Mmp17,0.0,0.005810517,0.0030535085,0.0,0.019688802,0.0,0.0,0.006410326
Zfp11,0.0,0.0,0.0,0.0,0.015346724,0.0029287674,0.0,0.0047038076
Mrps17,0.4666006,0.5953338,0.58930844,0.54822594,0.85024273,0.24499771,0.3298765,0.93075293
Gbas,0.20207152,0.3848395,0.23657617,0.20631073,0.2757475,0.15690362,0.16684084,0.30754444
Psph,0.09355858,0.27925903,0.24980314,0.1993604,0.50130427,0.15659575,0.17836413,0.6413867
Sumf2,0.020863315,0.026600434,0.035052374,0.030406496,0.10083411,0.012025854,0.015969865,0.08977123
